43;6;[1,14,13,2,0,5,4]
43;18;[3,17,8]
43;8;[3,18,17]
43;15;[3,16,7]
43;1;[14,6,2,5,3,13,0]
43;11;[5]
43;7;[15,3,16]
43;13;[0,5,2,1,14,6]
43;12;[5]
43;2;[13,5,4,14,0,6,1]
43;0;[13,2,4,3,14,6,1]
43;14;[0,6,1,13,5,2]
44;11;[5]
44;8;[3,18,17]
44;18;[17,3,8]
44;15;[7,3,16]
44;1;[6,13,5,3,0,14,2]
44;14;[2,0,5,13,1,6]
44;2;[0,14,6,1,13,5,4]
44;7;[3,15,16]
44;12;[5]
44;6;[5,4,14,0,2,1,13]
44;13;[1,6,5,14,2,0]
44;0;[14,2,4,3,1,6,13]
45;18;[8,3,17]
45;15;[16,7,3]
45;8;[18,17,3]
45;14;[13,2,0,5,6,1]
45;2;[0,6,14,1,13,5,4]
45;11;[5]
45;12;[5]
45;7;[15,3,16]
45;0;[1,2,4,3,13,6,14]
45;13;[14,2,5,0,1,6]
45;6;[13,1,14,2,5,4,0]
45;1;[13,6,14,2,5,3,0]
46;11;[5]
46;18;[17,3,8]
46;8;[3,18,17]
46;7;[16,3,15]
46;12;[5]
46;14;[6,0,2,5,13,1]
46;13;[1,2,5,14,6,0]
46;2;[1,5,4,6,14,0,13]
46;6;[14,0,13,1,5,4,2]
46;0;[6,14,13,2,4,3,1]
46;15;[16,3,7]
46;1;[5,3,14,6,13,2,0]
47;0;[1,6,14,13,2,4,3]
47;14;[13,0,1,6,2,5]
47;18;[17,3,8]
47;1;[0,14,13,5,3,2,6]
47;13;[14,0,5,6,2,1]
47;8;[17,3,18]
47;15;[3,16,7]
47;11;[5]
47;7;[16,3,15]
47;12;[5]
47;2;[5,4,6,1,0,14,13]
47;6;[14,0,13,1,5,4,2]
48;18;[8,17,3]
48;1;[0,13,2,14,6,5,3]
48;11;[5]
48;15;[7,3,16]
48;0;[14,4,3,13,1,6,2]
48;8;[3,17,18]
48;7;[3,15,16]
48;12;[5]
48;2;[1,13,5,4,14,6,0]
48;13;[1,6,2,5,0,14]
48;6;[2,1,5,4,14,0,13]
48;14;[6,0,5,2,1,13]
49;0;[6,14,13,1,2,4,3]
49;14;[0,6,2,1,5,13]
49;11;[5]
49;12;[5]
49;13;[0,1,2,5,14,6]
49;15;[16,3,7]
49;1;[13,5,3,2,14,6,0]
49;8;[17,3,18]
49;18;[17,3,8]
49;2;[14,6,0,13,5,4,1]
49;6;[14,13,1,5,4,2,0]
49;7;[3,16,15]
50;0;[13,14,6,1,2,4,3]
50;2;[6,14,0,13,5,4,1]
50;11;[5]
50;6;[14,0,2,13,5,4,1]
50;7;[16,3,15]
50;14;[0,6,2,1,5,13]
50;12;[5]
50;8;[17,3,18]
50;13;[0,1,6,2,5,14]
50;18;[3,17,8]
50;15;[3,16,7]
50;1;[14,0,13,5,3,6,2]
51;7;[16,15,3]
51;15;[7,3,16]
51;12;[5]
51;11;[5]
51;0;[4,3,13,14,1,2,6]
51;13;[5,6,1,14,2,0]
51;2;[14,13,5,4,1,0,6]
